x,y,height
0.000000000000000000e+00,0.000000000000000000e+00,6.256261630283545261e-02
2.999999999999999889e-01,0.000000000000000000e+00,7.967944857627465294e-02
5.999999999999999778e-01,0.000000000000000000e+00,7.402510218118915630e-02
8.999999999999999112e-01,0.000000000000000000e+00,6.526920081954908082e-02
1.199999999999999956e+00,0.000000000000000000e+00,4.768377865645952868e-02
1.500000000000000000e+00,0.000000000000000000e+00,4.684794882820519923e-02
1.799999999999999822e+00,0.000000000000000000e+00,5.996755419799255915e-02
2.100000000000000089e+00,0.000000000000000000e+00,5.931272172810155702e-02
2.399999999999999911e+00,0.000000000000000000e+00,7.483733060727883191e-02
2.699999999999999734e+00,0.000000000000000000e+00,9.846362109160680665e-02
3.000000000000000000e+00,0.000000000000000000e+00,9.466181206354494504e-02
3.299999999999999822e+00,0.000000000000000000e+00,1.073475320531305510e-01
3.599999999999999645e+00,0.000000000000000000e+00,9.673136078276974026e-02
3.899999999999999911e+00,0.000000000000000000e+00,1.292533983447233803e-01
4.200000000000000178e+00,0.000000000000000000e+00,1.055607600077363012e-01
4.500000000000000000e+00,0.000000000000000000e+00,1.179956248776201089e-01
4.799999999999999822e+00,0.000000000000000000e+00,1.399637310730142692e-01
5.099999999999999645e+00,0.000000000000000000e+00,1.548381358089122306e-01
5.399999999999999467e+00,0.000000000000000000e+00,1.516946980451901739e-01
5.700000000000000178e+00,0.000000000000000000e+00,1.779256082836154218e-01
6.000000000000000000e+00,0.000000000000000000e+00,1.783835369924602343e-01
6.299999999999999822e+00,0.000000000000000000e+00,2.141172094982080054e-01
6.599999999999999645e+00,0.000000000000000000e+00,1.853575639980861167e-01
6.899999999999999467e+00,0.000000000000000000e+00,1.697695409533878652e-01
7.199999999999999289e+00,0.000000000000000000e+00,1.807344553268640519e-01
7.500000000000000000e+00,0.000000000000000000e+00,1.839247127685258165e-01
7.799999999999999822e+00,0.000000000000000000e+00,2.444934254980760668e-01
8.099999999999999645e+00,0.000000000000000000e+00,2.437964467395674628e-01
8.400000000000000355e+00,0.000000000000000000e+00,2.386742529568436633e-01
8.699999999999999289e+00,0.000000000000000000e+00,2.635628216910470001e-01
9.000000000000000000e+00,0.000000000000000000e+00,2.467002697935206934e-01
9.299999999999998934e+00,0.000000000000000000e+00,3.011000901952082254e-01
9.599999999999999645e+00,0.000000000000000000e+00,3.163812577736165865e-01
9.900000000000000355e+00,0.000000000000000000e+00,3.676298144381702215e-01
1.019999999999999929e+01,0.000000000000000000e+00,3.684734420665878862e-01
1.050000000000000000e+01,0.000000000000000000e+00,3.906324272679787546e-01
1.079999999999999893e+01,0.000000000000000000e+00,3.659496304251056431e-01
1.109999999999999964e+01,0.000000000000000000e+00,3.737669951937770962e-01
1.140000000000000036e+01,0.000000000000000000e+00,4.123437140931765499e-01
1.169999999999999929e+01,0.000000000000000000e+00,4.343033539115025432e-01
1.200000000000000000e+01,0.000000000000000000e+00,4.652198113903398546e-01
1.229999999999999893e+01,0.000000000000000000e+00,4.500054565770132964e-01
1.259999999999999964e+01,0.000000000000000000e+00,4.723056835501989736e-01
1.290000000000000036e+01,0.000000000000000000e+00,5.300561976404841724e-01
1.319999999999999929e+01,0.000000000000000000e+00,5.084747377807987689e-01
1.350000000000000000e+01,0.000000000000000000e+00,5.291340018953361035e-01
1.379999999999999893e+01,0.000000000000000000e+00,5.348375196562209499e-01
1.409999999999999964e+01,0.000000000000000000e+00,5.796099460138202097e-01
1.439999999999999858e+01,0.000000000000000000e+00,5.661781114743111853e-01
1.469999999999999929e+01,0.000000000000000000e+00,5.642946886508604099e-01
1.500000000000000000e+01,0.000000000000000000e+00,5.744867918368576909e-01
1.529999999999999893e+01,0.000000000000000000e+00,6.126774940180280682e-01
1.559999999999999964e+01,0.000000000000000000e+00,6.534116487241037330e-01
1.589999999999999858e+01,0.000000000000000000e+00,6.377502111004921259e-01
1.619999999999999929e+01,0.000000000000000000e+00,6.210423737867877270e-01
1.650000000000000000e+01,0.000000000000000000e+00,6.359964116556728886e-01
1.680000000000000071e+01,0.000000000000000000e+00,6.713661145644348460e-01
1.709999999999999787e+01,0.000000000000000000e+00,6.930956638243697121e-01
1.739999999999999858e+01,0.000000000000000000e+00,6.944729862099811024e-01
1.769999999999999929e+01,0.000000000000000000e+00,7.492794894127835503e-01
1.800000000000000000e+01,0.000000000000000000e+00,7.486390022258512245e-01
1.830000000000000071e+01,0.000000000000000000e+00,7.552516361801782097e-01
1.859999999999999787e+01,0.000000000000000000e+00,7.449970039815095868e-01
1.889999999999999858e+01,0.000000000000000000e+00,8.052861044266259594e-01
1.919999999999999929e+01,0.000000000000000000e+00,8.269520100064361445e-01
1.950000000000000000e+01,0.000000000000000000e+00,8.712167930236437430e-01
1.980000000000000071e+01,0.000000000000000000e+00,8.604238281558613810e-01
2.009999999999999787e+01,0.000000000000000000e+00,8.805409949838824968e-01
2.039999999999999858e+01,0.000000000000000000e+00,8.971612195685277902e-01
2.069999999999999929e+01,0.000000000000000000e+00,8.988346903177383274e-01
2.100000000000000000e+01,0.000000000000000000e+00,9.195677419008486675e-01
2.130000000000000071e+01,0.000000000000000000e+00,9.196180710892262189e-01
2.159999999999999787e+01,0.000000000000000000e+00,9.890127506031727300e-01
2.189999999999999858e+01,0.000000000000000000e+00,9.835584358364223290e-01
2.219999999999999929e+01,0.000000000000000000e+00,1.013542228850398130e+00
2.250000000000000000e+01,0.000000000000000000e+00,1.004152615399305892e+00
2.280000000000000071e+01,0.000000000000000000e+00,1.003095273798662479e+00
2.309999999999999787e+01,0.000000000000000000e+00,1.012776738563692103e+00
2.339999999999999858e+01,0.000000000000000000e+00,1.024115258774607851e+00
2.369999999999999929e+01,0.000000000000000000e+00,1.092604585166875975e+00
2.400000000000000000e+01,0.000000000000000000e+00,1.061848610146543637e+00
2.430000000000000071e+01,0.000000000000000000e+00,1.012326311691510217e+00
2.459999999999999787e+01,0.000000000000000000e+00,1.055434959315580956e+00
2.489999999999999858e+01,0.000000000000000000e+00,1.090049429339001730e+00
2.519999999999999929e+01,0.000000000000000000e+00,1.073758326030271659e+00
2.550000000000000000e+01,0.000000000000000000e+00,1.040408862429330394e+00
2.580000000000000071e+01,0.000000000000000000e+00,1.040446150997449415e+00
2.609999999999999787e+01,0.000000000000000000e+00,1.061176365892601003e+00
2.639999999999999858e+01,0.000000000000000000e+00,1.057173116863851403e+00
2.669999999999999929e+01,0.000000000000000000e+00,1.102820075045217285e+00
2.700000000000000000e+01,0.000000000000000000e+00,1.107663277578663452e+00
2.730000000000000071e+01,0.000000000000000000e+00,1.095513806495608033e+00
2.759999999999999787e+01,0.000000000000000000e+00,1.077688179236665045e+00
2.789999999999999858e+01,0.000000000000000000e+00,1.086128183074416276e+00
2.819999999999999929e+01,0.000000000000000000e+00,1.106635587944539534e+00
2.850000000000000000e+01,0.000000000000000000e+00,1.143542300187254224e+00
2.879999999999999716e+01,0.000000000000000000e+00,1.110671228290179613e+00
2.909999999999999787e+01,0.000000000000000000e+00,1.104953505223658095e+00
2.939999999999999858e+01,0.000000000000000000e+00,1.191930722684033439e+00
2.969999999999999929e+01,0.000000000000000000e+00,1.117745560617858347e+00
3.000000000000000000e+01,0.000000000000000000e+00,1.127317311288105861e+00
3.029999999999999716e+01,0.000000000000000000e+00,1.143636560674344382e+00
